Сценарий;Материал;Пролет;Длина;Высота;Шаг_рам;Террен;w0;Sg;Му2;N_total;N_snow;N_wind;N_roof;Длина_ската;Группа;Профиль;Шаг_мм;K_max;Лимит;Масса_кг
С7: ЛСТК, фильтр кассеты 150мм, снег 2.0;lstk;18;48;6;6;B;0.3;2;1;3.5503;3.2938;0.0855;0.1710;8.85;MP390 Z;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С255Б beam_normal;35 Б2;1650;0.8439;гибкость;74995.20
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С255Б beam_wide;25 Ш1;1650;0.7974;гибкость;66679.20
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С255Б beam_column;20 К1;1650;0.6680;гибкость;62596.80
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С255Б square_tube;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С255Б rect_tube;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С355Б beam_normal;35 Б2;1650;0.8439;гибкость;74995.20
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С355Б beam_wide;25 Ш1;1650;0.7974;гибкость;66679.20
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С355Б beam_column;20 К1;1650;0.6680;гибкость;62596.80
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С355Б square_tube;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С355Б rect_tube;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С245 beam_normal;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С245 beam_wide;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С245 beam_column;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С245 square_tube;кв.160х4;1485;0.7871;прочность;32592.00
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С245 rect_tube;пр.180х140х4;1650;0.8405;прочность;29181.60
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С345 beam_normal;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С345 beam_wide;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С345 beam_column;— нет решения —;;;;
С3: Сортовой, двускат 30м, снег 1.8;rolled;30;84;10;6;B;0.3;1.8;1;3.1978;2.9594;0.0959;0.1425;14.85;С345 square_tube;кв.140х4;1650;0.8060;прочность;25704.00
