Сценарий;Сталь;Категория;Профиль;Шаг_мм;M_design_kNm;K_max;Лимит;Прочность;Прогиб;Срез;Уст_стенки;Гибкость;Кол-во;Масса_кг
С9: Сортовой, односкат 12м, сильный снег+ветер;С355Б;beam_wide;25 Ш1;1465;47.25;0.7974;гибкость;0.2862;0.0000;0.0000;0.4064;0.7974;8;12700.80
С9: Сортовой, односкат 12м, сильный снег+ветер;С355Б;beam_column;20 К1;1465;47.13;0.6680;гибкость;0.3650;0.0000;0.0000;0.3470;0.6680;8;11923.20
С9: Сортовой, односкат 12м, сильный снег+ветер;С245;square_tube;кв.200х5;1465;46.65;0.8490;прочность;0.8490;0.0000;0.0612;0.0000;0.4203;8;8668.80
С9: Сортовой, односкат 12м, сильный снег+ветер;С245;rect_tube;пр.200х160х5;1170;37.39;0.8039;прочность;0.8039;0.0000;0.0545;0.0000;0.5160;10;9792.00
С9: Сортовой, односкат 12м, сильный снег+ветер;С345;square_tube;кв.160х4;1065;33.81;0.8461;прочность;0.8461;0.0000;0.0487;0.0000;0.5266;11;7682.40
С9: Сортовой, односкат 12м, сильный снег+ветер;С345;rect_tube;пр.200х120х4;1300;41.19;0.7813;прочность;0.7813;0.0000;0.0529;0.0000;0.5152;9;7063.20
С10: Сортовой, across с existingSize 5м;С255Б;beam_normal;35 Б2;1485;69.72;0.8439;гибкость;0.3963;0.0000;0.0000;0.4988;0.8439;16;57139.20
С10: Сортовой, across с existingSize 5м;С255Б;beam_wide;25 Ш1;1485;69.48;0.7974;гибкость;0.6098;0.0000;0.0000;0.3376;0.7974;16;50803.20
С10: Сортовой, across с existingSize 5м;С255Б;beam_column;20 К1;1485;69.37;0.7478;прочность;0.7478;0.0000;0.0000;0.2941;0.6680;16;47692.80
С10: Сортовой, across с existingSize 5м;С355Б;beam_normal;35 Б2;1485;69.72;0.8439;гибкость;0.2735;0.0000;0.0000;0.6004;0.8439;16;57139.20
С10: Сортовой, across с existingSize 5м;С355Б;beam_wide;25 Ш1;1485;69.48;0.7974;гибкость;0.4209;0.0000;0.0000;0.4064;0.7974;16;50803.20
С10: Сортовой, across с existingSize 5м;С355Б;beam_column;20 К1;1485;69.37;0.6680;гибкость;0.5372;0.0000;0.0000;0.3470;0.6680;16;47692.80
С10: Сортовой, across с existingSize 5м;С245;square_tube;кв.200х7;1320;61.86;0.8374;прочность;0.8374;0.0000;0.0591;0.0000;0.4257;18;53654.40
С10: Сортовой, across с existingSize 5м;С245;rect_tube;пр.200х160х7;1080;50.78;0.8049;прочность;0.8049;0.0000;0.0531;0.0000;0.5225;22;59875.20
С10: Сортовой, across с existingSize 5м;С345;square_tube;кв.200х5;1320;61.38;0.7884;прочность;0.7884;0.0000;0.0569;0.0000;0.4203;18;39009.60
С10: Сортовой, across с existingSize 5м;С345;rect_tube;пр.200х160х5;1185;55.11;0.8363;прочность;0.8363;0.0000;0.0567;0.0000;0.5160;20;39168.00
